RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Caleb Swanigan,Por,F,22.81,9,15.7,32.7,12.5,31.2,6,0.333,25,0.56,1,0,0.538,0.524,3.3,5.9,19.4,1.2,10.2,0,0.33,1.44,7.3,94.5,95.5
,Jayson Tatum,Bos,F-G,21.94,48,33.8,70.5,28.1,9.6,200,0.835,553,0.472,326,0.387,0.512,0.552,22.2,6.9,10.9,2.9,14,1.35,0.88,2.15,9,109.1,102.7
,Jeff Teague,Min,G,31.67,34,27.8,57.9,20.3,16.4,144,0.868,238,0.471,87,0.379,0.497,0.577,13.2,2.6,4.9,6.1,32.9,0.74,0.38,2.24,8.5,115.8,109.4
,Jeff Teague,Atl,G,31.67,12,23.3,48.6,17.2,18.1,27,0.889,70,0.371,13,0.308,0.386,0.464,7.3,2.3,5.4,4.7,27.8,1.08,0.17,1.75,7.4,99.5,112.1
,Garrett Temple,Bro,G-F,33.76,46,28.3,58.9,16.6,10.1,62,0.758,149,0.477,288,0.323,0.482,0.504,10.2,3.3,6.1,2.5,12.4,0.8,0.46,1.13,6.2,103.1,106.5
,Daniel Theis,Bos,F,27.85,46,22.8,47.4,14.3,10.6,71,0.69,218,0.615,64,0.313,0.582,0.602,8.2,6.2,14.6,1.7,10.2,0.65,1.37,0.8,7.8,124.9,93.5
,Isaiah Thomas,Was,G,31.01,40,23.1,48.2,24,14.2,76,0.816,237,0.405,189,0.413,0.5,0.531,12.2,1.7,4,3.7,22.8,0.33,0.15,1.9,7.4,103,114.9
,Khyri Thomas,Det,G,23.76,2,2.8,5.8,6.8,0,2,0.5,0,0,0,0,,0.568,0.5,0,0,0,0,0,0,0,0,,
,Matt Thomas,Tor,G,25.52,22,11.1,23.2,15.6,9,7,0.714,24,0.542,54,0.481,0.667,0.672,5,1.5,6.9,0.6,7.8,0.32,0,0.36,5.9,122.9,102.2
,Tristan Thompson,Cle,C-F,28.91,49,30.7,64,18,15,140,0.643,466,0.511,11,0.364,0.512,0.537,11.8,10.3,18.6,2.1,10.2,0.61,0.9,1.94,8.3,109.5,109.9
,Matisse Thybulle,Phi,G-F,22.94,46,20.4,42.5,11.6,15.9,37,0.649,70,0.471,125,0.368,0.523,0.54,5,1.5,4.1,1.2,7.9,1.43,0.85,0.87,4.1,102,98.5
,Anthony Tolliver,Por,F,34.69,33,16.8,35,11.2,14.3,19,0.684,28,0.464,89,0.337,0.496,0.515,3.9,3.3,10.3,0.9,6.6,0.24,0.27,0.64,5.4,105.5,107.8
,Anthony Tolliver,Sac,F,34.69,8,8.1,16.8,12.1,16.8,2,0.5,0,0,14,0.143,0.214,0.235,0.9,1.1,7.9,0.4,5.8,0.38,0.13,0.38,3.6,58.4,106.7
,Juan Toscano-Anderson,Gol,F,26.84,1,19.5,40.6,15.3,14.3,0,0,5,0.2,1,1,0.417,0.417,5,3,8.2,2,14.8,0,0,1,6.4,83.3,118.6
,Karl-Anthony Towns,Min,C-F,24.24,34,33.8,70.5,29,13,214,0.794,338,0.592,271,0.41,0.602,0.642,26.6,10.9,16.8,4.3,23,0.94,1.21,3.09,12.7,120.5,102.4
,Gary Trent Jr.,Por,G-F,21.06,41,17.6,36.8,14.9,4.3,19,0.895,85,0.471,149,0.423,0.575,0.59,7,1.6,4.6,0.9,7.1,0.68,0.24,0.27,4.9,122.4,112
,Allonzo Trier,Nyk,G,24.06,20,12.3,25.6,21.2,17.1,39,0.795,39,0.564,46,0.326,0.524,0.587,6,1.4,5.8,1.2,14.6,0.1,0.2,1.05,7,107.3,108.5
,P.J. Tucker,Hou,F,34.77,53,34.9,72.8,8.8,14.6,42,0.833,106,0.575,214,0.369,0.561,0.582,7.4,7,10.4,1.7,6.1,1.17,0.47,1.09,5.1,115.8,103.5
,Rayjon Tucker,Uta,G,22.38,12,6.2,12.8,14.3,12.4,5,0.6,13,0.615,6,0,0.421,0.448,1.6,0.9,8.1,0.2,3.7,0.08,0,0.25,4.3,88.3,102.2
,Evan Turner,Atl,G-F,31.29,19,13.2,27.6,16.4,26.2,14,0.857,62,0.403,5,0,0.373,0.424,3.3,2,8.1,2,20.7,0.47,0.42,1.37,7.2,83.2,110.2
,Myles Turner,Ind,C-F,23.88,43,29.1,60.6,17.8,11.5,120,0.758,216,0.537,178,0.343,0.527,0.566,11.8,6.1,11.7,1.2,5.7,0.7,1.98,1.35,6.1,107.5,102.5
,Jonas Valanciunas,Mem,C,27.76,50,26,54.1,21.8,13.2,122,0.73,464,0.621,72,0.375,0.613,0.633,14.9,10.4,21.3,1.9,11.1,0.46,1.18,1.8,10.2,118.4,101.3
,Denzel Valentine,Chi,G,26.23,30,12.2,25.4,21.8,10.7,5,1,63,0.476,101,0.356,0.512,0.52,5.8,1.9,8.5,1.1,14.8,0.67,0.17,0.67,7.5,100.3,100.5
,Jarred Vanderbilt,Den,F,20.86,9,4.6,9.6,14.6,50,0,0,7,0.714,0,0,0.714,0.714,1.1,0.9,10.6,0.2,6.6,0.33,0.11,0.78,5.1,75.9,94.2
,Jarred Vanderbilt,Min,F,20.86,1,1.1,2.3,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Fred VanVleet,Tor,G,25.96,43,35.9,74.9,22.1,12,159,0.836,334,0.425,296,0.399,0.506,0.551,17.9,3.8,5.6,6.9,28.6,1.84,0.3,2.21,8.7,113.5,103.2
,Gabe Vincent,Mia,G,23.66,3,13,27.2,21.4,0,0,0,3,0,16,0.25,0.316,0.316,4,1,4.3,1,10.8,0.33,0,0,4.9,75.7,108.8
,Noah Vonleh,Min,F,24.46,29,12,25,13.8,15.5,28,0.821,72,0.625,14,0.143,0.558,0.605,4.1,4,17.5,0.9,10.9,0.38,0.21,0.62,8.2,119.7,101.8
,Nikola Vucevic,Orl,C,29.3,42,31.9,66.5,26.2,7.8,115,0.783,493,0.501,202,0.342,0.504,0.53,18.8,10.8,17.9,3.5,19.9,0.86,0.93,1.5,11.2,110.4,100.5
,Dean Wade,Cle,F-C,23.22,10,5.4,11.2,10.7,22.3,1,0,7,0.714,3,0.667,0.8,0.766,1.6,1.6,16.4,0.1,2.7,0.2,0.3,0.3,4.7,114.3,101.1
,Moritz Wagner,Was,F-C,22.79,24,20.2,42,21.2,18.2,49,0.816,120,0.7,61,0.377,0.655,0.684,11.5,5.9,15.9,1.3,9.7,0.67,0.54,1.88,8.8,116.3,98.7
,Dion Waiters,Mia,G,28.17,3,14,29.2,30.8,10.2,1,0,9,0.222,17,0.471,0.538,0.53,9.3,3.7,14.6,1,12.4,0,0.67,1,9.3,94.1,98
,Lonnie Walker IV,San,G-F,21.16,44,13.2,27.6,20.1,9.6,49,0.714,162,0.457,61,0.393,0.493,0.521,5.8,2,7.9,0.7,7.3,0.43,0.18,0.59,6.1,100.9,107.4
,Kemba Walker,Bos,G,29.76,44,32,66.6,27.9,10.1,200,0.865,353,0.484,386,0.391,0.538,0.585,22,4,6.7,5,24.8,1,0.57,2.11,9.5,117.8,106.5
,Tyrone Wallace,Atl,G,25.67,14,11.5,23.9,15.9,16.3,17,0.647,29,0.448,15,0.067,0.33,0.389,2.9,1.6,7.4,0.9,10.9,0.5,0.07,0.71,5.6,79.6,105.7
,Derrick Walton Jr.,Lac,G,24.86,23,9.6,20.1,8.2,9.1,9,0.778,15,0.533,21,0.429,0.597,0.626,2.2,0.7,3.5,1,12.6,0.17,0,0.17,4.8,132.3,105.1
,Brad Wanamaker,Bos,G,30.55,51,18.7,38.9,15.9,15.8,92,0.913,184,0.451,74,0.365,0.479,0.554,6.5,2,5.8,2.7,19.2,0.71,0.22,1.1,7,111.9,101.1
,T.J. Warren,Ind,F,26.43,50,32.2,67.1,22.6,7.3,161,0.801,547,0.559,149,0.376,0.56,0.593,18.2,3.7,6.3,1.4,6.5,1.14,0.48,1.2,5.7,113.7,104.9
,P.J. Washington,Cha,F,21.47,45,29.9,62.4,17.9,12.9,109,0.661,281,0.516,152,0.388,0.539,0.56,12,5.4,9.9,2,10.9,0.91,0.84,1.58,6.8,105.7,106.2
,Yuta Watanabe,Mem,G-F,25.33,9,5.4,11.3,14.3,6,4,0.5,10,0.4,4,0.5,0.5,0.508,1.8,0.9,8.7,0.1,2.6,0.11,0.11,0.11,4,100.5,105.4
,Tremont Waters,Bos,G,22.08,9,8.1,16.9,22.6,20.7,6,1,13,0.615,15,0.133,0.393,0.457,3.1,0.8,5.2,1.1,19,0.56,0.22,0.89,6.9,86.4,94.8
,Paul Watson,Atl,G,25.11,2,8.8,18.2,16.6,0,0,0,4,0,3,0,0,0,0,1,6.1,1.5,20.7,0.5,0,0,0,26.9,111.6
,Paul Watson,Tor,G,25.11,2,2.4,5,7.9,0,2,0.5,0,0,0,0,,0.568,0.5,0.5,11,0.5,24.7,0,0,0,8.3,,
,Quinndary Weatherspoon,San,G,23.41,1,3.6,7.5,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Russell Westbrook,Hou,G,31.24,44,36,75,34.1,14.7,285,0.786,819,0.509,179,0.24,0.482,0.528,27,8,11.5,7.3,35.6,1.64,0.36,4.39,12.9,105.8,101.9
,Coby White,Chi,G,19.98,54,24.1,50.3,23.1,11.2,87,0.736,305,0.403,283,0.339,0.454,0.477,11.1,3.5,7.9,2.3,15.1,0.69,0.07,1.46,7.4,95.1,107.4
,Derrick White,San,G,25.61,50,23.8,49.6,17.8,11.9,125,0.832,248,0.512,128,0.359,0.521,0.575,9.9,3.1,6.9,3.3,19.1,0.56,0.82,1.16,7.8,115.9,108.4
,Hassan Whiteside,Por,C,30.66,49,30.8,64.1,19.6,13.4,184,0.717,518,0.61,4,0.5,0.611,0.639,15.7,14.1,23.7,1.1,5.6,0.41,3.12,1.9,8.1,123.3,102.1
,Andrew Wiggins,Min,F,24.96,42,34.7,72.2,28,10.7,207,0.72,515,0.505,275,0.331,0.502,0.535,22.4,5.2,7.9,3.7,18.3,0.69,0.86,2.52,8.7,104.7,109.2
,Andrew Wiggins,Gol,F,24.96,1,30.9,64.4,27.5,20,9,0.556,8,0.625,4,0.75,0.792,0.752,24,2,3.5,3,18.1,5,1,4,6.8,115.1,101.9
,Robert Williams III,Bos,C-F,22.32,19,14.1,29.5,11.3,22.5,14,0.571,49,0.673,0,0,0.673,0.671,3.9,4.6,17.4,1.1,10.6,0.95,1.11,0.84,7.7,120.8,91.7
,Nigel Williams-Goss,Uta,G,25.4,9,3.1,6.4,15.6,20.2,2,1,5,0.2,2,0,0.143,0.254,0.4,0.6,9.8,0.6,22.6,0.11,0.11,0.22,6.8,,
,Grant Williams,Bos,F,21.2,50,15.7,32.7,12.2,18.8,45,0.689,93,0.548,69,0.275,0.491,0.523,3.8,2.7,9.1,1.1,8.8,0.42,0.56,0.84,5.7,104.4,95.6
,Johnathan Williams,Was,F,24.72,10,13.5,28,9.6,12.8,5,0.6,23,0.696,2,0,0.64,0.643,3.5,4.3,17.3,0.6,5.9,0.1,0.6,0.4,6.2,131.2,111.2
,Kenrich Williams,Nor,G-F,25.19,35,22.3,46.4,9.2,12,24,0.375,47,0.511,96,0.26,0.43,0.43,3.8,5.1,12.1,1.5,8.4,0.71,0.6,0.6,5.5,102.2,104.6
,Lou Williams,Lac,G,33.29,50,29.6,61.8,28.8,14.3,292,0.87,504,0.444,251,0.351,0.472,0.547,19.3,3.1,5.4,5.9,30.3,0.62,0.16,2.96,9.6,109.1,108.2
,Marvin Williams,Cha,F,33.64,41,19.7,41,13.9,9.7,50,0.86,93,0.538,117,0.376,0.552,0.593,6.7,2.7,7.5,1,7.7,0.61,0.56,0.61,5.3,115.2,107.7
,Zion Williamson,Nor,F,19.6,8,26.9,56,29.3,15,51,0.588,99,0.586,9,0.444,0.593,0.606,19.8,7.5,14.7,2,12.8,0.75,0.38,2.88,9.9,110.1,109.3
,D.J. Wilson,Mil,F-C,23.97,26,9,18.8,16.5,12.8,7,0.714,34,0.618,45,0.244,0.475,0.487,3.1,2,10.9,0.7,9.9,0.04,0.15,0.46,7.2,96,96.3
,Justise Winslow,Mia,G-F,23.87,11,32,66.7,20.6,14.6,27,0.667,102,0.431,27,0.222,0.411,0.44,11.3,6.6,11.6,4,18.7,0.73,0.45,2.18,8.4,93.3,100.5
,Christian Wood,Det,F,24.37,51,18.7,38.9,22,12,179,0.732,247,0.636,98,0.388,0.62,0.66,11,5.6,16.8,0.8,7,0.47,0.86,1.14,7.8,122.4,105.5
,Delon Wright,Dal,G,27.79,51,21.1,44,15.2,12.3,74,0.784,215,0.512,89,0.371,0.525,0.56,7.4,3.9,9.7,3.4,22.1,1.08,0.31,0.92,8.7,122.9,106.8
,Thaddeus Young,Chi,F,31.64,53,23.8,49.7,19.6,13.8,58,0.586,302,0.503,172,0.337,0.504,0.512,9.7,4.7,10.8,1.7,11.2,1.19,0.28,1.51,7.2,99.1,104.1
,Trae Young,Atl,G,21.39,48,35.2,73.3,35,16.4,436,0.851,548,0.504,451,0.373,0.529,0.599,29.7,4.5,6.8,9.1,45.9,1.17,0.1,4.88,12.1,113.3,114.2
,Cody Zeller,Cha,C,27.35,49,23.1,48.1,20.9,11.7,144,0.688,345,0.568,69,0.246,0.535,0.568,11.1,7,16.7,1.4,10.7,0.67,0.45,1.29,8.3,113.9,103.3
,Ante Zizic,Cle,C,23.1,16,10,20.7,16.3,8.3,15,0.867,49,0.571,0,0,0.571,0.621,4.3,3.4,18.8,0.2,2.9,0.38,0.25,0.31,5.7,123.7,101.7
,Ivica Zubac,Lac,C,22.9,53,17.9,37.2,16.8,11.7,115,0.73,288,0.597,2,0,0.593,0.628,8.1,7.1,20.4,1,8.5,0.21,0.98,0.85,8.6,127.8,95
,Dewayne Dedmon,Atl,C,30.5,1,32.7,68.1,20.9,24.3,1,1,7,0.429,5,0.2,0.375,0.402,10,8,13.2,0,0,0,5,4,0,60.1,97.2
,Glenn Robinson III,Phi,F,26.09,1,12.2,25.4,21.2,0,0,0,5,1,1,0,0.833,0.833,10,1,4.5,0,0,0,0,0,0,155.8,108
,Jerome Robinson,Was,G,22.97,1,15.8,32.9,18.4,0,0,0,3,0.333,4,0.25,0.357,0.357,5,2,6.9,2,16.8,0,0,0,6.9,89.5,102.4
,Marcus Morris Sr.,Lac,F,30.44,1,21.9,45.6,24.5,7.7,0,0,8,0.625,4,0,0.417,0.417,10,4,9.4,2,14.3,3,0,1,7.9,85.8,94
,Andre Drummond,Cle,C,26.5,1,29,60.4,35.5,16.6,7,0.429,14,0.357,3,0.667,0.471,0.473,19,14,26.7,3,17.7,2,1,4,12.8,96.4,110
,Malik Newman,Cle,G,22.97,1,3.7,7.7,44.8,25.8,2,1,1,0,1,0,0,0.347,2,0,0,0,0,0,0,1,0,,
,Andre Iguodala,Mia,G-F,36.03,1,22.8,47.5,7.7,50,0,0,1,1,1,0,0.5,0.5,2,6,14.7,3,17.1,1,1,2,5.8,107,97.2
