RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Zach Norvell Jr.,Gol,G-F,22.17,1,17.4,36.3,13.3,18.4,1,1,1,0,3,0.667,0.75,0.788,7,4,12.3,2,16.9,2,0,1,8.8,131.5,103.4
,Jaylen Nowell,Min,G,20.84,9,11.3,23.6,18.8,6.5,10,0.9,19,0.579,20,0.15,0.397,0.461,4.4,1,4.6,1.2,15.8,0,0,0.33,6.2,102.7,112.8
,Frank Ntilikina,Nyk,G,21.54,48,20.8,43.3,15.1,17.5,44,0.864,162,0.438,111,0.306,0.447,0.482,5.9,2.2,5.6,3,20.2,0.92,0.33,1.29,6.5,99,103.6
,Kendrick Nunn,Mia,G,24.52,49,30.2,63,23.7,11,75,0.827,397,0.516,280,0.35,0.52,0.539,15.6,2.8,5.1,3.5,19.2,0.86,0.18,1.8,7.1,104.6,105.9
,David Nwaba,Bro,G-F,27.07,20,13.4,28,14.1,8.8,27,0.667,43,0.581,28,0.429,0.606,0.627,5.2,2.3,8.6,0.4,4.3,0.55,0.6,0.4,5,119.8,98.7
,Semi Ojeleye,Bos,F,25.18,49,15.1,31.4,8.6,6,25,0.88,49,0.469,80,0.35,0.504,0.543,3.1,1.9,6.9,0.5,4.5,0.35,0.08,0.18,3.8,117.6,104.4
,Jahlil Okafor,Nor,C-F,24.15,27,15.5,32.4,20.1,17.5,58,0.638,142,0.613,2,0.5,0.615,0.631,7.9,4.3,14.7,1.3,13,0.26,0.7,1.33,9.1,115.5,100.8
,Elie Okobo,Pho,F-G,22.3,43,13.3,27.6,14.7,13.2,59,0.678,86,0.419,59,0.373,0.476,0.521,4.1,1.6,6.7,2.2,22.3,0.51,0.09,0.6,7.3,111.9,106.9
,Josh Okogie,Min,G,21.44,49,24.4,50.8,16,15.5,160,0.788,195,0.513,126,0.254,0.461,0.539,8.6,4.3,9.3,1.5,8.8,1.12,0.43,1.47,6.3,105.3,105.6
,KZ Okpala,Mia,F-G,20.79,5,5.2,10.8,11.7,14.5,2,0.5,4,0.75,1,0,0.6,0.595,1.4,1,10.7,0.2,5.5,0.4,0.2,0.2,5,110.4,100.5
,Victor Oladipo,Ind,G,27.77,5,23.8,49.6,29,11.5,12,0.833,31,0.355,33,0.212,0.336,0.383,10.6,1.4,3.3,2.6,15.1,0.8,0.2,1.8,5.7,79.4,112
,Kelly Olynyk,Mia,C,28.81,46,19.6,40.8,16.3,14.7,69,0.87,106,0.547,149,0.389,0.569,0.613,7.6,4.6,13.1,1.3,9.6,0.63,0.3,1.07,7.3,113.5,97.1
,Royce O'Neale,Uta,F,26.68,52,29,60.4,8.8,14.2,27,0.852,93,0.516,155,0.406,0.575,0.593,5.9,5.2,9.7,2.6,11.6,0.71,0.4,0.83,5.9,118.5,99.7
,Miye Oni,Uta,G-F,22.52,3,2.8,5.8,5.2,100,0,0,0,0,0,0,,,0,0.3,6.5,0,0,0,0,0.33,0,,
,Kyle O'Quinn,Phi,C-F,29.88,22,10.1,21,16.9,20.7,11,0.455,43,0.581,21,0.333,0.555,0.552,3.5,3.7,20.1,1.5,20.7,0.18,0.77,0.82,10.6,110.2,95.2
,Cedi Osman,Cle,F,24.84,53,28.8,60,16.5,12.5,70,0.643,233,0.515,252,0.389,0.551,0.561,10.9,3.4,6.5,2.3,11.9,0.85,0.26,1.4,6.1,107.9,110.7
,Kelly Oubre Jr.,Pho,F-G,24.17,51,34.6,72.1,22.5,8.5,232,0.789,473,0.514,283,0.364,0.526,0.57,19.2,6.7,10.6,1.5,6.7,1.27,0.75,1.57,6.7,110,103.1
,Tariq Owens,Pho,F,24.61,2,5.3,11,16,0,0,0,3,0.333,1,0,0.25,0.25,1,1,10.4,0,0,0.5,0,0,0,83,114
,Jeremy Pargo,Gol,G,33.93,1,14.3,29.8,22.1,13.4,1,0,5,0.6,1,0,0.5,0.466,6,2,7.5,4,47.8,1,0,1,10.2,104.7,101.7
,Jabari Parker,Atl,F,24.91,32,26.2,54.5,24,12.4,72,0.736,278,0.601,115,0.27,0.543,0.565,15,6,12.3,1.8,11.7,1.31,0.47,1.88,8.3,106,104.8
,Chandler Parsons,Atl,F,31.29,5,10.8,22.6,16.1,14.3,0,0,4,0.25,14,0.286,0.389,0.389,2.8,1.4,6.9,0.6,7.5,0.8,0.2,0.6,4.9,76.7,110.9
,Eric Paschall,Gol,F,23.26,48,26.9,56,21.5,10.9,160,0.769,412,0.527,99,0.283,0.507,0.551,13.4,4.7,9.4,1.7,10.6,0.56,0.25,1.48,7.1,106.5,109.5
,Anzejs Pasecniks,Was,C,24.14,19,19.5,40.6,16.4,15.1,50,0.62,100,0.54,2,0,0.529,0.56,7.3,4.9,13.8,0.9,6.3,0.42,0.53,1.16,6.5,109.7,103.9
,Patrick Patterson,Lac,F,30.91,45,12.8,26.7,14.9,7.2,34,0.794,44,0.477,134,0.373,0.539,0.567,4.9,2.6,10.4,0.6,6.8,0.13,0.07,0.33,6.2,117.9,104.5
,Justin Patton,Okc,C,22.66,5,4.8,10.1,21.9,16.7,0,0,6,0.5,4,0.25,0.45,0.45,1.8,1,11.4,0.4,12.5,0,0,0.4,7.5,85.7,95.1
,Chris Paul,Okc,G,34.77,52,31.7,66,22.8,12.9,212,0.896,418,0.553,231,0.351,0.543,0.603,17.2,5.1,8.9,6.6,32.5,1.58,0.13,2.12,10.5,120.6,102.4
,Gary Payton II,Was,G,27.19,21,19.2,40,13.2,14.8,8,0.5,67,0.478,39,0.282,0.458,0.461,4.8,3.5,9.8,2.1,14.4,1.52,0.33,0.9,6.8,101.5,105.9
,Elfrid Payton,Nyk,G,25.97,35,27.4,57,19.3,15.8,47,0.511,289,0.464,57,0.228,0.444,0.451,9.5,4.7,9,6.8,37.5,1.63,0.46,1.97,9.8,102.2,106.5
,Norvel Pelle,Phi,F,27.02,15,10.9,22.6,12.3,25.9,12,0.5,29,0.586,0,0,0.586,0.583,2.7,3.6,18.2,0.5,5.8,0.07,1.47,0.8,6.2,100.2,86.6
,Theo Pinson,Bro,G-F,24.26,28,12.2,25.4,23.1,16.9,16,0.938,73,0.397,77,0.195,0.343,0.376,4.2,1.7,7.2,1.9,21.7,0.54,0.07,1.14,7.8,80.8,101.8
,Mason Plumlee,Den,F-C,29.93,43,17.4,36.3,18.5,19.2,114,0.553,206,0.617,4,0,0.605,0.609,7.4,5.5,17.4,2.4,20.4,0.51,0.6,1.44,10.6,115.7,96.3
,Jakob Poeltl,San,C,24.32,52,17.3,35.9,13.1,15.1,66,0.5,202,0.624,0,0,0.624,0.617,5.5,5.6,17.3,1.8,14.2,0.46,1.54,0.79,8.8,125.6,103.8
,Vincent Poirier,Bos,C-F,26.29,18,6,12.5,15.5,15.4,7,0.857,28,0.464,2,0.5,0.483,0.529,1.9,1.8,16.5,0.4,8.9,0.11,0.33,0.33,7.4,107.7,86.6
,Shamorie Ponds,Tor,G,19.71,4,2.7,5.5,23.8,0,2,1,3,0.667,2,0.5,0.7,0.765,2.3,0.3,5,0.5,33.7,0,0.25,0,10.4,,
,Jordan Poole,Gol,G,20.64,46,21.1,43.9,20.5,9.6,85,0.824,176,0.324,208,0.269,0.367,0.418,7.7,1.9,4.9,2,13.7,0.61,0.2,0.98,5.8,87.2,110.7
,Kevin Porter Jr.,Cle,G-F,19.77,41,22.4,46.7,20.5,17.7,74,0.703,209,0.522,122,0.336,0.515,0.54,9.6,3.1,7.8,2,13.1,0.9,0.17,1.9,7,97.7,105.8
,Michael Porter Jr.,Den,F,21.62,39,14.2,29.7,22.2,10.5,39,0.795,150,0.553,88,0.432,0.588,0.609,8,4.4,16.9,0.7,8.2,0.44,0.46,0.77,8.2,115.8,96.5
,Otto Porter Jr.,Chi,F,26.69,9,25.1,52.3,18.9,7,20,0.75,44,0.432,40,0.4,0.512,0.544,11.2,3.4,7.5,1.6,9.5,1,0.33,0.78,6.3,111,105
,Bobby Portis,Nyk,F,25,54,20.9,43.5,20.9,10.1,71,0.746,311,0.473,156,0.353,0.491,0.514,9.5,5.2,13.3,1.6,11.7,0.52,0.19,1.04,8.2,105.2,106.7
,Kristaps Porzingis,Dal,F-C,24.53,40,30.4,63.3,26.4,9.1,170,0.771,343,0.455,263,0.35,0.485,0.528,18,9.1,15.7,1.4,7.1,0.73,1.85,1.7,8.1,106,100.3
,Dwight Powell,Dal,F-C,28.56,40,26.5,55.2,12.7,11.8,111,0.667,190,0.716,39,0.256,0.659,0.677,9.4,5.7,11.2,1.5,7.7,0.88,0.53,0.93,6.5,132.6,103.6
